fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-15;VA;30-39;1550;1991;3541
2020-10-15;CyL;30-39;7058;9302;16360
2020-10-15;AV;40-49;626;811;1437
2020-10-15;PA;40-49;626;745;1371
2020-10-15;ZA;40-49;362;530;892
2020-10-15;CyL;40-49;9406;12472;21878
2020-10-15;PA;50-59;614;773;1387
2020-10-15;AV;70-79;388;429;817
2020-10-15;BU;70-79;681;695;1376
2020-10-15;LE;70-79;930;885;1815
2020-10-15;PA;70-79;353;350;703
2020-10-15;SA;70-79;811;881;1692
2020-10-15;SE;70-79;523;524;1047
2020-10-15;CyL;70-79;5199;5330;10529
2020-10-15;BU;0-9;810;698;1508
2020-10-15;LE;0-9;597;540;1137
2020-10-15;SA;0-9;666;645;1311
2020-10-15;ZA;0-9;289;275;564
2020-10-15;AV;10-19;254;237;491
2020-10-15;LE;10-19;697;648;1345
2020-10-15;SA;10-19;699;727;1426
2020-10-15;LE;20-29;891;1038;1929
2020-10-15;ZA;20-29;208;247;455
2020-10-15;AV;30-39;437;586;1023
2020-10-15;BU;30-39;1318;1576;2894
2020-10-15;PA;30-39;454;556;1010
2020-10-15;SO;30-39;308;416;724
2020-10-15;ZA;30-39;269;373;642
2020-10-15;BU;40-49;1691;1982;3673
2020-10-15;SA;40-49;1363;1807;3170
2020-10-15;VA;40-49;2020;2742;4762
2020-10-15;AV;50-59;580;876;1456
2020-10-15;BU;50-59;1452;1974;3426
2020-10-15;SA;50-59;1512;2160;3672
2020-10-15;SE;50-59;954;1424;2378
2020-10-15;SO;50-59;461;705;1166
2020-10-15;VA;50-59;1724;2389;4113
2020-10-15;AV;60-69;537;608;1145
2020-10-15;BU;60-69;1025;1142;2167
2020-10-15;LE;60-69;1211;1417;2628
2020-10-15;PA;60-69;506;533;1039
2020-10-15;SA;60-69;1160;1308;2468
2020-10-15;ZA;60-69;381;409;790
2020-10-15;CyL;60-69;7296;8310;15606
2020-10-15;ZA;70-79;274;267;541
2020-10-15;BU;>80;802;1433;2235
2020-10-15;SO;>80;448;796;1244
2020-10-15;VA;>80;993;1984;2977
2020-10-15;ZA;>80;362;601;963
2020-10-15;CyL;>80;6315;11418;17733
2020-10-14;AV;0-9;261;228;489
2020-10-14;BU;0-9;806;689;1495
2020-10-14;LE;0-9;598;531;1129
2020-10-14;PA;0-9;231;206;437
2020-10-14;BU;10-19;840;725;1565
2020-10-14;LE;10-19;676;623;1299
2020-10-14;SO;10-19;159;143;302
2020-10-14;CyL;10-19;4429;4198;8627
2020-10-14;PA;20-29;409;420;829
2020-10-14;SA;20-29;998;1193;2191
2020-10-14;CyL;20-29;5878;6872;12750
2020-10-14;PA;30-39;450;551;1001
2020-10-14;SA;30-39;1095;1485;2580
2020-10-14;CyL;30-39;6986;9203;16189
2020-10-14;LE;40-49;1433;2059;3492
2020-10-14;SA;40-49;1342;1789;3131
2020-10-14;SE;40-49;825;1141;1966
2020-10-14;AV;50-59;579;876;1455
2020-10-14;SO;50-59;457;698;1155
2020-10-14;SO;60-69;342;410;752
2020-10-14;CyL;60-69;7224;8239;15463
2020-10-14;AV;70-79;388;425;813
2020-10-14;LE;70-79;919;872;1791
2020-10-14;SE;70-79;523;522;1045
2020-10-14;AV;>80;505;858;1363
2020-10-14;SA;0-9;661;641;1302
2020-10-14;SE;0-9;427;399;826
2020-10-14;VA;0-9;1092;933;2025
2020-10-14;ZA;0-9;289;273;562
2020-10-14;CyL;0-9;4525;4046;8571
2020-10-14;PA;10-19;297;291;588
2020-10-14;SA;10-19;673;695;1368
2020-10-14;SE;20-29;455;588;1043
2020-10-14;SO;20-29;255;324;579
2020-10-14;BU;30-39;1295;1550;2845
2020-10-14;BU;40-49;1665;1959;3624
2020-10-14;PA;40-49;618;733;1351
2020-10-14;VA;40-49;1999;2717;4716
2020-10-14;ZA;40-49;355;527;882
2020-10-14;CyL;50-59;9011;12816;21827
2020-10-14;BU;60-69;1019;1128;2147
2020-10-14;LE;60-69;1183;1396;2579
2020-10-14;SE;60-69;807;863;1670
2020-10-14;ZA;60-69;373;405;778
2020-10-14;BU;70-79;669;684;1353
2020-10-14;PA;70-79;346;346;692
